close,date
2565.5642,2015-07-21 10:57:00
2565.6125,2015-07-21 10:58:00
2565.652,2015-07-21 10:59:00
2565.683,2015-07-21 11:00:00
2565.706,2015-07-21 11:01:00
2565.7173,2015-07-21 11:02:00
2565.7202,2015-07-21 11:03:00
2565.7234,2015-07-21 11:04:00
2565.7314,2015-07-21 11:05:00
2565.7393,2015-07-21 11:06:00
2565.742,2015-07-21 11:07:00
2565.7402,2015-07-21 11:08:00
2565.7441,2015-07-21 11:09:00
2565.7593,2015-07-21 11:10:00
2565.7905,2015-07-21 11:11:00
2565.8408,2015-07-21 11:12:00
2565.9246,2015-07-21 11:13:00
2566.0503,2015-07-21 11:14:00
2566.2114,2015-07-21 11:15:00
2566.392,2015-07-21 11:16:00
2566.5903,2015-07-21 11:17:00
2566.795,2015-07-21 11:18:00
2566.9941,2015-07-21 11:19:00
2567.172,2015-07-21 11:20:00
2567.3303,2015-07-21 11:21:00
2567.463,2015-07-21 11:22:00
2567.5642,2015-07-21 11:23:00
2567.6213,2015-07-21 11:24:00
2567.6338,2015-07-21 11:25:00
2567.6,2015-07-21 11:26:00
2567.5188,2015-07-21 11:27:00
2567.3953,2015-07-21 11:28:00
2567.238,2015-07-21 11:29:00
2567.0583,2015-07-21 11:30:00
2566.8582,2015-07-21 11:31:00
2566.6445,2015-07-21 11:32:00
2566.4307,2015-07-21 11:33:00
2566.22,2015-07-21 11:34:00
2566.0166,2015-07-21 11:35:00
2565.8284,2015-07-21 11:36:00
2565.6545,2015-07-21 11:37:00
2565.497,2015-07-21 11:38:00
2565.3545,2015-07-21 11:39:00
2565.2302,2015-07-21 11:40:00
2565.1208,2015-07-21 11:41:00
2565.041,2015-07-21 11:42:00
2564.993,2015-07-21 11:43:00
2564.9663,2015-07-21 11:44:00
2564.9685,2015-07-21 11:45:00
2564.9956,2015-07-21 11:46:00
2565.0645,2015-07-21 11:47:00
2565.159,2015-07-21 11:48:00
2565.2654,2015-07-21 11:49:00
2565.3818,2015-07-21 11:50:00
2565.5098,2015-07-21 11:51:00
2565.6428,2015-07-21 11:52:00
2565.778,2015-07-21 11:53:00
2565.9224,2015-07-21 11:54:00
2566.081,2015-07-21 11:55:00
2566.253,2015-07-21 11:56:00
2566.43,2015-07-21 11:57:00
2566.6155,2015-07-21 11:58:00
2566.808,2015-07-21 11:59:00
2566.998,2015-07-21 12:00:00
2567.1711,2015-07-21 12:01:00
2567.3198,2015-07-21 12:02:00
2567.4402,2015-07-21 12:03:00
2567.533,2015-07-21 12:04:00
2567.5994,2015-07-21 12:05:00
2567.6455,2015-07-21 12:06:00
2567.672,2015-07-21 12:07:00
2567.6807,2015-07-21 12:08:00
2567.6763,2015-07-21 12:09:00
2567.6711,2015-07-21 12:10:00
2567.671,2015-07-21 12:11:00
2567.6768,2015-07-21 12:12:00
2567.6958,2015-07-21 12:13:00
2567.7234,2015-07-21 12:14:00
2567.7578,2015-07-21 12:15:00
2567.7969,2015-07-21 12:16:00
2567.838,2015-07-21 12:17:00
2567.8804,2015-07-21 12:18:00
2567.9207,2015-07-21 12:19:00
2567.9575,2015-07-21 12:20:00
2567.9924,2015-07-21 12:21:00
2568.0276,2015-07-21 12:22:00
2568.0635,2015-07-21 12:23:00
2568.0989,2015-07-21 12:24:00
2568.1343,2015-07-21 12:25:00
2568.17,2015-07-21 12:26:00
2568.2065,2015-07-21 12:27:00
2568.243,2015-07-21 12:28:00
2568.2798,2015-07-21 12:29:00
2568.3167,2015-07-21 12:30:00
2568.347,2015-07-21 12:31:00
2568.368,2015-07-21 12:32:00
2568.3816,2015-07-21 12:33:00
2568.3877,2015-07-21 12:34:00
2568.3857,2015-07-21 12:35:00
2568.3787,2015-07-21 12:36:00
2568.3591,2015-07-21 12:37:00
2568.3235,2015-07-21 12:38:00
2568.2722,2015-07-21 12:39:00
2568.2144,2015-07-21 12:40:00
2568.1565,2015-07-21 12:41:00
2568.0999,2015-07-21 12:42:00
2568.047,2015-07-21 12:43:00
2567.9973,2015-07-21 12:44:00
2567.9475,2015-07-21 12:45:00
2567.897,2015-07-21 12:46:00
2567.8467,2015-07-21 12:47:00
2567.79,2015-07-21 12:48:00
2567.7104,2015-07-21 12:49:00
2567.584,2015-07-21 12:50:00
2567.3945,2015-07-21 12:51:00
2567.1428,2015-07-21 12:52:00
2566.8435,2015-07-21 12:53:00
2566.5127,2015-07-21 12:54:00
2566.1611,2015-07-21 12:55:00
2565.8018,2015-07-21 12:56:00
2565.4382,2015-07-21 12:57:00
2565.079,2015-07-21 12:58:00
2564.7268,2015-07-21 12:59:00
2564.3877,2015-07-21 13:00:00
2564.073,2015-07-21 13:01:00
2563.796,2015-07-21 13:02:00
2563.557,2015-07-21 13:03:00
2563.3547,2015-07-21 13:04:00
2563.198,2015-07-21 13:05:00
2563.0828,2015-07-21 13:06:00
2562.9985,2015-07-21 13:07:00
2562.9294,2015-07-21 13:08:00
2562.8655,2015-07-21 13:09:00
2562.7783,2015-07-21 13:10:00
2562.641,2015-07-21 13:11:00
2562.4624,2015-07-21 13:12:00
2562.2612,2015-07-21 13:13:00
2562.0513,2015-07-21 13:14:00
2561.8289,2015-07-21 13:15:00
2561.5867,2015-07-21 13:16:00
2561.3335,2015-07-21 13:17:00
2561.0933,2015-07-21 13:18:00
2560.8794,2015-07-21 13:19:00
2560.703,2015-07-21 13:20:00
2560.5525,2015-07-21 13:21:00
2560.414,2015-07-21 13:22:00
2560.2803,2015-07-21 13:23:00
2560.1194,2015-07-21 13:24:00
2559.929,2015-07-21 13:25:00
2559.7373,2015-07-21 13:26:00
2559.5618,2015-07-21 13:27:00
2559.4128,2015-07-21 13:28:00
2559.295,2015-07-21 13:29:00
2559.2117,2015-07-21 13:30:00
2559.1614,2015-07-21 13:31:00
2559.129,2015-07-21 13:32:00
2559.1108,2015-07-21 13:33:00
2559.1038,2015-07-21 13:34:00
2559.106,2015-07-21 13:35:00
2559.1277,2015-07-21 13:36:00
2559.1836,2015-07-21 13:37:00
2559.2776,2015-07-21 13:38:00
2559.408,2015-07-21 13:39:00
2559.577,2015-07-21 13:40:00
2559.7693,2015-07-21 13:41:00
2559.9446,2015-07-21 13:42:00
2560.0806,2015-07-21 13:43:00
2560.1653,2015-07-21 13:44:00
2560.193,2015-07-21 13:45:00
2560.1707,2015-07-21 13:46:00
2560.1182,2015-07-21 13:47:00
2560.0513,2015-07-21 13:48:00
2559.9768,2015-07-21 13:49:00
2559.9153,2015-07-21 13:50:00
2559.8657,2015-07-21 13:51:00
2559.859,2015-07-21 13:52:00
2559.883,2015-07-21 13:53:00
2559.916,2015-07-21 13:54:00
2559.9192,2015-07-21 13:55:00
2559.862,2015-07-21 13:56:00
2559.6433,2015-07-21 13:57:00
2559.2324,2015-07-21 13:58:00
2558.6318,2015-07-21 13:59:00
2557.8826,2015-07-21 14:00:00
2557.0247,2015-07-21 14:01:00
2556.0828,2015-07-21 14:02:00
2555.072,2015-07-21 14:03:00
2554.0068,2015-07-21 14:04:00
2552.8975,2015-07-21 14:05:00
2551.785,2015-07-21 14:06:00
2550.6992,2015-07-21 14:07:00
2549.6711,2015-07-21 14:08:00
2548.7212,2015-07-21 14:09:00
2547.8484,2015-07-21 14:10:00
2547.0425,2015-07-21 14:11:00
2546.299,2015-07-21 14:12:00
2545.614,2015-07-21 14:13:00
2544.9773,2015-07-21 14:14:00
2544.3772,2015-07-21 14:15:00
2543.8184,2015-07-21 14:16:00
2543.3293,2015-07-21 14:17:00
2542.9192,2015-07-21 14:18:00
2542.566,2015-07-21 14:19:00
2542.2546,2015-07-21 14:20:00
2541.981,2015-07-21 14:21:00
2541.7407,2015-07-21 14:22:00
2541.5308,2015-07-21 14:23:00
2541.3718,2015-07-21 14:24:00
2541.2664,2015-07-21 14:25:00
2541.2085,2015-07-21 14:26:00
2541.1807,2015-07-21 14:27:00
2541.1719,2015-07-21 14:28:00
2541.1736,2015-07-21 14:29:00
2541.195,2015-07-21 14:30:00
2541.2612,2015-07-21 14:31:00
2541.404,2015-07-21 14:32:00
2541.6316,2015-07-21 14:33:00
2541.9429,2015-07-21 14:34:00
2542.3306,2015-07-21 14:35:00
2542.7708,2015-07-21 14:36:00
2543.2493,2015-07-21 14:37:00
2543.743,2015-07-21 14:38:00
2544.2266,2015-07-21 14:39:00
2544.671,2015-07-21 14:40:00
2545.0676,2015-07-21 14:41:00
2545.412,2015-07-21 14:42:00
2545.6978,2015-07-21 14:43:00
2545.9202,2015-07-21 14:44:00
2546.103,2015-07-21 14:45:00
2546.2625,2015-07-21 14:46:00
2546.4055,2015-07-21 14:47:00
2546.5444,2015-07-21 14:48:00
2546.6929,2015-07-21 14:49:00
2546.884,2015-07-21 14:50:00
2547.1235,2015-07-21 14:51:00
2547.4006,2015-07-21 14:52:00
2547.6997,2015-07-21 14:53:00
2548.0051,2015-07-21 14:54:00
2548.2988,2015-07-21 14:55:00
2548.57,2015-07-21 14:56:00
2548.8298,2015-07-21 14:57:00
2549.0862,2015-07-21 14:58:00
2549.336,2015-07-21 14:59:00
2549.57,2015-07-21 15:00:00
2549.7603,2015-07-21 15:01:00
2549.8884,2015-07-21 15:02:00
2549.944,2015-07-21 15:03:00
2549.9226,2015-07-21 15:04:00
2549.8318,2015-07-21 15:05:00
2549.6814,2015-07-21 15:06:00
2549.4844,2015-07-21 15:07:00
2549.2527,2015-07-21 15:08:00
2548.9922,2015-07-21 15:09:00
2548.7144,2015-07-21 15:10:00
2548.4304,2015-07-21 15:11:00
2548.1472,2015-07-21 15:12:00
2547.87,2015-07-21 15:13:00
2547.5789,2015-07-21 15:14:00
2547.2666,2015-07-21 15:15:00
2546.9287,2015-07-21 15:16:00
2546.5745,2015-07-21 15:17:00
2546.2166,2015-07-21 15:18:00
2545.8726,2015-07-21 15:19:00
2545.5535,2015-07-21 15:20:00
2545.2646,2015-07-21 15:21:00
2545.0034,2015-07-21 15:22:00
2544.764,2015-07-21 15:23:00
2544.5388,2015-07-21 15:24:00
2544.309,2015-07-21 15:25:00
2544.0637,2015-07-21 15:26:00
2543.8044,2015-07-21 15:27:00
2543.566,2015-07-21 15:28:00
2543.3545,2015-07-21 15:29:00
2543.1748,2015-07-21 15:30:00
2543.0283,2015-07-22 09:16:00
2542.9023,2015-07-22 09:17:00
2542.7927,2015-07-22 09:18:00
2542.6965,2015-07-22 09:19:00
2542.605,2015-07-22 09:20:00
2542.514,2015-07-22 09:21:00
2542.4224,2015-07-22 09:22:00
2542.3315,2015-07-22 09:23:00
2542.2434,2015-07-22 09:24:00
2542.1685,2015-07-22 09:25:00
2542.1128,2015-07-22 09:26:00
2542.0784,2015-07-22 09:27:00
2542.094,2015-07-22 09:28:00
2542.142,2015-07-22 09:29:00
2542.205,2015-07-22 09:30:00
2542.2646,2015-07-22 09:31:00
2542.309,2015-07-22 09:32:00
2542.3347,2015-07-22 09:33:00
2542.353,2015-07-22 09:34:00
2542.3665,2015-07-22 09:35:00
2542.3794,2015-07-22 09:36:00
2542.396,2015-07-22 09:37:00
2542.4204,2015-07-22 09:38:00
2542.4573,2015-07-22 09:39:00
2542.514,2015-07-22 09:40:00
2542.5913,2015-07-22 09:41:00
2542.6812,2015-07-22 09:42:00
2542.7773,2015-07-22 09:43:00
2542.8748,2015-07-22 09:44:00
2542.9702,2015-07-22 09:45:00
2543.061,2015-07-22 09:46:00
2543.1697,2015-07-22 09:47:00
2543.312,2015-07-22 09:48:00
2543.4932,2015-07-22 09:49:00
2543.7134,2015-07-22 09:50:00
2543.9597,2015-07-22 09:51:00
2544.1865,2015-07-22 09:52:00
2544.3503,2015-07-22 09:53:00
2544.4424,2015-07-22 09:54:00
2544.471,2015-07-22 09:55:00
2544.4453,2015-07-22 09:56:00
2544.3787,2015-07-22 09:57:00
2544.281,2015-07-22 09:58:00
2544.1611,2015-07-22 09:59:00
2544.0305,2015-07-22 10:00:00
2543.893,2015-07-22 10:01:00
2543.746,2015-07-22 10:02:00
2543.593,2015-07-22 10:03:00
2543.4282,2015-07-22 10:04:00
2543.256,2015-07-22 10:05:00
2543.0776,2015-07-22 10:06:00
2542.8953,2015-07-22 10:07:00
2542.7083,2015-07-22 10:08:00
2542.5166,2015-07-22 10:09:00
2542.3228,2015-07-22 10:10:00
2542.1301,2015-07-22 10:11:00
2541.944,2015-07-22 10:12:00
2541.7668,2015-07-22 10:13:00
2541.603,2015-07-22 10:14:00
2541.451,2015-07-22 10:15:00
2541.3098,2015-07-22 10:16:00
2541.1814,2015-07-22 10:17:00
2541.0635,2015-07-22 10:18:00
2540.9553,2015-07-22 10:19:00
2540.8535,2015-07-22 10:20:00
2540.7544,2015-07-22 10:21:00
2540.6523,2015-07-22 10:22:00
2540.5525,2015-07-22 10:23:00
2540.464,2015-07-22 10:24:00
2540.392,2015-07-22 10:25:00
2540.35,2015-07-22 10:26:00
2540.3513,2015-07-22 10:27:00
2540.393,2015-07-22 10:28:00
2540.4722,2015-07-22 10:29:00
2540.582,2015-07-22 10:30:00
2540.7192,2015-07-22 10:31:00
2540.8726,2015-07-22 10:32:00
2541.0322,2015-07-22 10:33:00
2541.192,2015-07-22 10:34:00
2541.3816,2015-07-22 10:35:00
2541.6013,2015-07-22 10:36:00
2541.8728,2015-07-22 10:37:00
2542.179,2015-07-22 10:38:00
2542.4983,2015-07-22 10:39:00
2542.8018,2015-07-22 10:40:00
2543.0872,2015-07-22 10:41:00
2543.3494,2015-07-22 10:42:00
2543.5764,2015-07-22 10:43:00
2543.7725,2015-07-22 10:44:00
2543.9421,2015-07-22 10:45:00
2544.0842,2015-07-22 10:46:00
2544.1968,2015-07-22 10:47:00
2544.2817,2015-07-22 10:48:00
2544.3416,2015-07-22 10:49:00
2544.3713,2015-07-22 10:50:00
2544.3772,2015-07-22 10:51:00
2544.3555,2015-07-22 10:52:00
2544.3086,2015-07-22 10:53:00
2544.241,2015-07-22 10:54:00
2544.156,2015-07-22 10:55:00
2544.056,2015-07-22 10:56:00
2543.9373,2015-07-22 10:57:00
2543.7952,2015-07-22 10:58:00
2543.6304,2015-07-22 10:59:00
2543.4514,2015-07-22 11:00:00
2543.2673,2015-07-22 11:01:00
2543.0845,2015-07-22 11:02:00
2542.9023,2015-07-22 11:03:00
2542.7263,2015-07-22 11:04:00
2542.5676,2015-07-22 11:05:00
2542.4292,2015-07-22 11:06:00
2542.3113,2015-07-22 11:07:00
2542.2097,2015-07-22 11:08:00
2542.1187,2015-07-22 11:09:00
2542.0308,2015-07-22 11:10:00
2541.9456,2015-07-22 11:11:00
2541.8606,2015-07-22 11:12:00
2541.7715,2015-07-22 11:13:00
2541.679,2015-07-22 11:14:00
