date,time,close
20150331,9:61,2534.9883063
20150331,9:71,2534.97665939
20150331,9:81,2534.96505927
20150331,9:91,2534.95350592
20150331,9:02,2534.94199932
20150331,9:12,2534.93053945
20150331,9:22,2534.9191263
20150331,9:32,2534.90775985
20150331,9:42,2534.89644009
20150331,9:52,2534.88516699
20150331,9:62,2534.87394053
20150331,9:72,2534.86276072
20150331,9:82,2534.85162751
20150331,9:92,2534.84054091
20150331,9:03,2534.82950089
20150331,9:13,2534.81850743
20150331,9:23,2534.80756052
20150331,9:33,2534.79666015
20150331,9:43,2534.78580629
20150331,9:53,2534.77499892
20150331,9:63,2534.76423804
20150331,9:73,2534.75352362
20150331,9:83,2534.74285566
20150331,9:93,2534.73223412
20150331,9:04,2534.72165899
20150331,9:14,2534.71113027
20150331,9:24,2534.70064792
20150331,9:34,2534.69021194
20150331,9:44,2534.67982231
20150331,9:54,2534.669479
20150331,9:64,2534.65918202
20150331,9:74,2534.64893132
20150331,9:84,2534.63872691
20150331,9:94,2534.62856876
20150331,9:05,2534.61845686
20150331,9:15,2534.60839119
20150331,9:25,2534.59837174
20150331,9:35,2534.58839848
20150331,9:45,2534.5784714
20150331,9:55,2534.56859048
20150331,9:65,2534.55875571
20150331,9:75,2534.54896708
20150331,9:85,2534.53922455
20150331,9:95,2534.52952813
20150331,01:00,2534.52158103
20150331,01:10,2534.51367938
20150331,01:20,2534.50582316
20150331,01:30,2534.49801236
20150331,01:40,2534.49024695
20150331,01:50,2534.48252694
20150331,01:60,2534.47485229
20150331,01:70,2534.46722299
20150331,01:80,2534.45963902
20150331,01:90,2534.45210037
20150331,01:01,2534.44460703
20150331,01:11,2534.43715897
20150331,01:21,2534.42975618
20150331,01:31,2534.42239864
20150331,01:41,2534.41508634
20150331,01:51,2534.40781926
20150331,01:61,2534.40059738
20150331,01:71,2534.39342069
20150331,01:81,2534.38628917
20150331,01:91,2534.3792028
20150331,01:02,2534.37216158
20150331,01:12,2534.36516547
20150331,01:22,2534.35821448
20150331,01:32,2534.35130857
