date,close
2015-07-03 09:16:00,2575.7
2015-07-03 09:17:00,2571.75
2015-07-03 09:18:00,2577.0
2015-07-03 09:19:00,2582.3
2015-07-03 09:20:00,2580.6
2015-07-03 09:21:00,2581.9
2015-07-03 09:22:00,2582.0
2015-07-03 09:23:00,2584.7
2015-07-03 09:24:00,2587.25
2015-07-03 09:25:00,2585.6
2015-07-03 09:26:00,2585.0
2015-07-03 09:27:00,2584.8
2015-07-03 09:28:00,2585.05
2015-07-03 09:29:00,2585.4
2015-07-03 09:30:00,2585.4
2015-07-03 09:31:00,2587.0
2015-07-03 09:32:00,2587.5
2015-07-03 09:33:00,2586.7
2015-07-03 09:34:00,2590.05
2015-07-03 09:35:00,2591.8
2015-07-03 09:36:00,2589.9
2015-07-03 09:37:00,2592.0
2015-07-03 09:38:00,2590.5
2015-07-03 09:39:00,2591.25
2015-07-03 09:40:00,2591.9
2015-07-03 09:41:00,2588.9
2015-07-03 09:42:00,2589.1
2015-07-03 09:43:00,2590.15
2015-07-03 09:44:00,2590.15
2015-07-03 09:45:00,2589.0
2015-07-03 09:46:00,2589.6
2015-07-03 09:47:00,2589.0
2015-07-03 09:48:00,2589.1
2015-07-03 09:49:00,2588.9
2015-07-03 09:50:00,2589.2
2015-07-03 09:51:00,2589.15
2015-07-03 09:52:00,2589.15
2015-07-03 09:53:00,2589.15
2015-07-03 09:54:00,2588.25
2015-07-03 09:55:00,2590.0
2015-07-03 09:56:00,2590.1
2015-07-03 09:57:00,2590.05
2015-07-03 09:58:00,2590.15
2015-07-03 09:59:00,2588.8
2015-07-03 10:00:00,2589.2
2015-07-03 10:01:00,2589.55
2015-07-03 10:02:00,2589.25
2015-07-03 10:03:00,2587.9
2015-07-03 10:04:00,2587.05
2015-07-03 10:05:00,2587.15
2015-07-03 10:06:00,2587.25
2015-07-03 10:07:00,2590.0
2015-07-03 10:08:00,2590.05
2015-07-03 10:09:00,2590.65
2015-07-03 10:10:00,2591.3
2015-07-03 10:11:00,2591.5
2015-07-03 10:12:00,2591.6
2015-07-03 10:13:00,2591.6
2015-07-03 10:14:00,2591.4
2015-07-03 10:15:00,2590.0
